studentid,cgpa,internships,projects,certifications,aptitudetestscore,softskillsrating,extracurricularactivities,placementtraining,ssc_marks,hsc_marks,placementstatus
6913,8.8,2,3,2,83.0,4.1,Yes,Yes,73.0,83.0,Placed
2257,8.2,1,3,2,79.0,4.1,Yes,Yes,78.0,65.0,Placed
8105,7.4,0,2,1,72.0,4.4,No,Yes,60.0,70.0,Placed
8229,8.5,1,3,2,90.0,4.7,Yes,Yes,76.0,87.0,Placed
2460,7.6,1,2,0,71.0,4.8,No,Yes,58.0,67.0,NotPlaced
5448,8.4,2,3,2,89.0,4.6,Yes,Yes,87.0,84.0,Placed
8575,8.3,1,2,0,73.0,4.8,Yes,Yes,74.0,86.0,NotPlaced
4835,8.5,1,3,2,89.0,4.3,Yes,Yes,77.0,70.0,Placed
1343,8.4,1,3,2,90.0,4.1,Yes,Yes,77.0,82.0,Placed
9805,8.7,1,3,2,89.0,4.6,Yes,Yes,69.0,86.0,Placed
4389,7.6,1,1,0,70.0,4.5,No,No,69.0,74.0,NotPlaced
891,8.3,2,3,2,90.0,4.7,Yes,Yes,76.0,88.0,Placed
6568,7.7,2,3,0,90.0,4.7,Yes,No,88.0,78.0,NotPlaced
9292,8.7,1,3,0,89.0,4.5,Yes,Yes,70.0,84.0,Placed
2590,8.5,2,3,2,90.0,4.7,No,Yes,76.0,82.0,Placed
2512,8.1,0,2,0,81.0,4.8,No,Yes,88.0,82.0,NotPlaced
9709,8.3,2,3,2,85.0,4.8,Yes,No,83.0,88.0,NotPlaced
9662,7.4,1,2,1,81.0,4.2,No,Yes,56.0,73.0,NotPlaced
7049,6.7,0,1,0,68.0,3.5,No,No,63.0,68.0,NotPlaced
450,8.3,2,3,2,87.0,4.8,Yes,Yes,74.0,80.0,NotPlaced
973,7.3,1,1,2,66.0,4.6,No,Yes,55.0,70.0,Placed
9564,7.3,1,2,2,82.0,4.2,No,No,70.0,65.0,NotPlaced
1645,6.8,0,3,0,83.0,4.3,Yes,Yes,61.0,66.0,Placed
5366,8.5,0,2,0,79.0,4.5,No,No,72.0,74.0,NotPlaced
9343,8.2,1,3,0,80.0,4.5,Yes,Yes,76.0,82.0,Placed
5648,8.5,1,3,1,84.0,3.9,Yes,Yes,72.0,82.0,Placed
3463,8.5,2,3,2,90.0,4.8,Yes,Yes,77.0,88.0,Placed
4114,8.7,1,3,0,78.0,3.2,Yes,Yes,55.0,80.0,NotPlaced
4778,7.5,1,1,0,75.0,4.8,No,Yes,68.0,68.0,NotPlaced
3392,8.0,1,2,1,82.0,4.4,No,Yes,81.0,65.0,Placed
1752,7.2,0,1,1,79.0,4.1,No,Yes,83.0,67.0,Placed
493,8.5,1,2,1,70.0,4.5,Yes,Yes,74.0,64.0,Placed
6790,6.8,1,1,1,77.0,4.2,No,No,65.0,66.0,NotPlaced
2026,7.7,2,3,1,88.0,4.3,No,Yes,56.0,83.0,NotPlaced
6968,8.4,2,3,2,82.0,4.7,Yes,Yes,86.0,82.0,Placed
7202,6.5,1,1,0,72.0,4.0,No,No,64.0,71.0,NotPlaced
27,7.4,2,3,2,78.0,4.3,Yes,Yes,76.0,82.0,NotPlaced
7634,7.6,0,2,0,70.0,3.8,No,Yes,63.0,69.0,NotPlaced
1092,8.7,1,2,2,77.0,4.3,Yes,Yes,79.0,88.0,Placed
2731,6.6,1,2,1,62.0,3.4,No,Yes,58.0,62.0,NotPlaced
4975,7.7,0,1,1,78.0,4.6,Yes,Yes,74.0,66.0,NotPlaced
3621,7.3,0,1,1,69.0,4.6,No,No,58.0,65.0,NotPlaced
2881,7.9,2,3,2,90.0,4.8,Yes,Yes,78.0,87.0,Placed
2527,8.2,0,2,1,68.0,4.3,Yes,Yes,62.0,68.0,Placed
592,7.9,0,1,0,66.0,4.1,No,No,72.0,84.0,NotPlaced
3428,6.7,1,3,0,74.0,4.5,Yes,Yes,72.0,63.0,NotPlaced
6452,8.4,2,3,2,90.0,4.6,Yes,Yes,74.0,80.0,NotPlaced
35,6.9,0,1,0,70.0,3.9,No,Yes,79.0,68.0,Placed
4234,7.5,2,2,1,85.0,4.6,Yes,Yes,71.0,85.0,Placed
6889,7.6,1,1,1,80.0,3.6,No,Yes,59.0,75.0,NotPlaced
2608,8.5,1,1,0,80.0,4.6,No,No,61.0,69.0,NotPlaced
1010,8.2,2,3,2,90.0,4.6,Yes,No,72.0,85.0,NotPlaced
3590,7.5,0,1,0,75.0,4.1,Yes,Yes,72.0,65.0,Placed
6242,8.2,1,1,1,73.0,3.9,Yes,No,59.0,71.0,NotPlaced
6072,7.5,0,2,0,68.0,4.1,Yes,Yes,69.0,58.0,NotPlaced
227,8.0,2,2,2,87.0,3.8,Yes,Yes,79.0,78.0,Placed
1736,7.8,1,1,2,81.0,3.9,No,Yes,62.0,72.0,NotPlaced
3077,8.0,0,2,2,75.0,3.8,Yes,No,76.0,82.0,NotPlaced
8182,7.1,1,1,3,75.0,4.4,Yes,Yes,74.0,82.0,NotPlaced
6034,7.5,2,3,2,90.0,4.1,No,Yes,63.0,83.0,Placed
6670,8.5,2,3,2,90.0,4.8,Yes,No,80.0,87.0,Placed
1344,8.7,2,2,2,90.0,4.8,Yes,Yes,80.0,85.0,Placed
5428,7.9,1,3,1,76.0,3.8,Yes,No,68.0,65.0,NotPlaced
9968,7.8,0,3,2,85.0,4.6,Yes,Yes,75.0,81.0,NotPlaced
7674,6.5,1,2,0,71.0,4.0,Yes,Yes,75.0,74.0,NotPlaced
8753,8.6,1,2,1,78.0,4.3,Yes,Yes,70.0,67.0,Placed
4181,8.4,1,1,2,79.0,4.6,No,Yes,76.0,85.0,NotPlaced
9758,7.5,0,3,2,90.0,4.8,Yes,No,81.0,66.0,Placed
3716,7.6,0,1,0,72.0,4.0,No,No,56.0,68.0,NotPlaced
3757,8.3,1,2,0,89.0,4.5,Yes,Yes,75.0,72.0,NotPlaced
7492,7.5,1,1,1,65.0,4.5,No,No,55.0,67.0,NotPlaced
1714,7.5,0,2,1,76.0,4.2,No,Yes,61.0,67.0,NotPlaced
3744,7.4,1,1,0,84.0,4.1,No,No,55.0,70.0,NotPlaced
7257,8.0,2,1,1,77.0,3.8,No,Yes,83.0,64.0,NotPlaced
1220,7.7,2,1,1,64.0,4.2,No,Yes,55.0,78.0,NotPlaced
4630,8.1,2,3,0,88.0,4.6,Yes,Yes,78.0,67.0,Placed
2816,8.6,1,2,0,80.0,4.2,No,No,55.0,68.0,NotPlaced
773,7.3,1,2,2,73.0,4.7,Yes,Yes,75.0,72.0,NotPlaced
3241,7.6,1,1,0,77.0,4.4,No,No,55.0,65.0,NotPlaced
5467,8.0,1,3,2,90.0,4.8,Yes,Yes,80.0,84.0,Placed
9230,8.1,2,1,1,87.0,3.8,No,Yes,55.0,63.0,NotPlaced
9932,7.9,1,2,0,83.0,4.5,No,Yes,78.0,75.0,Placed
2454,8.0,1,2,3,74.0,4.0,Yes,Yes,78.0,83.0,Placed
5570,8.5,2,3,2,84.0,4.6,Yes,Yes,85.0,82.0,Placed
4492,8.0,2,3,1,87.0,4.7,Yes,Yes,87.0,86.0,Placed
8253,8.5,2,3,2,90.0,4.8,Yes,Yes,79.0,82.0,Placed
7661,6.5,1,1,0,66.0,3.9,No,No,55.0,73.0,NotPlaced
4760,7.6,0,1,1,68.0,4.1,No,No,63.0,64.0,NotPlaced
4176,7.6,1,2,3,74.0,3.7,Yes,Yes,79.0,86.0,Placed
770,8.1,2,3,2,90.0,4.8,Yes,Yes,70.0,81.0,Placed
9972,7.1,0,1,0,76.0,3.9,No,No,64.0,69.0,NotPlaced
9260,8.6,0,3,1,85.0,4.6,Yes,Yes,74.0,81.0,Placed
2475,7.5,2,3,0,88.0,4.6,Yes,Yes,72.0,86.0,NotPlaced
525,7.5,1,3,1,89.0,4.2,No,Yes,72.0,71.0,NotPlaced
3367,7.3,0,2,1,71.0,4.4,No,No,68.0,69.0,NotPlaced
9466,8.4,0,3,3,80.0,4.6,No,Yes,89.0,73.0,NotPlaced
9174,7.7,2,1,0,78.0,4.0,No,No,61.0,87.0,NotPlaced
3448,8.5,0,3,2,90.0,4.8,Yes,Yes,70.0,88.0,Placed
9688,7.7,1,1,1,82.0,4.0,No,No,55.0,61.0,NotPlaced
30,7.0,0,1,1,63.0,3.9,No,Yes,60.0,61.0,NotPlaced
7379,8.5,1,3,2,86.0,4.5,Yes,Yes,89.0,77.0,Placed
6317,6.5,1,1,1,60.0,4.0,No,No,62.0,69.0,NotPlaced
1704,7.0,1,1,1,61.0,3.5,No,No,55.0,67.0,NotPlaced
8076,8.0,2,3,2,90.0,4.8,Yes,Yes,77.0,86.0,Placed
453,7.6,0,2,0,83.0,4.2,No,Yes,55.0,70.0,NotPlaced
327,6.5,1,1,1,78.0,3.9,No,Yes,67.0,73.0,Placed
8894,7.9,2,3,2,90.0,4.8,Yes,Yes,81.0,86.0,Placed
9609,6.5,2,2,0,83.0,4.1,Yes,Yes,57.0,81.0,NotPlaced
4991,6.6,0,1,1,68.0,3.8,No,No,64.0,67.0,NotPlaced
82,6.7,1,2,1,74.0,4.8,Yes,Yes,72.0,64.0,Placed
4326,6.9,1,1,1,73.0,3.6,No,No,71.0,57.0,NotPlaced
5462,7.8,2,3,2,85.0,4.6,Yes,Yes,74.0,87.0,NotPlaced
2864,8.5,2,2,2,65.0,4.4,Yes,Yes,57.0,81.0,NotPlaced
7097,8.2,2,3,2,90.0,4.8,Yes,Yes,84.0,88.0,Placed
6111,7.6,1,1,0,69.0,3.4,Yes,Yes,73.0,59.0,NotPlaced
8459,8.3,1,3,3,88.0,4.0,No,Yes,77.0,63.0,Placed
6482,7.4,1,1,0,71.0,4.7,No,Yes,55.0,62.0,NotPlaced
4100,7.5,0,3,3,78.0,4.7,Yes,Yes,68.0,65.0,NotPlaced
8867,8.3,1,3,2,88.0,4.6,Yes,Yes,77.0,88.0,Placed
1041,8.2,2,1,0,74.0,4.5,Yes,Yes,77.0,67.0,NotPlaced
71,7.5,1,1,1,69.0,4.3,No,Yes,71.0,76.0,NotPlaced
9539,7.8,1,2,1,69.0,4.5,Yes,No,71.0,67.0,NotPlaced
130,8.5,1,2,2,90.0,4.8,Yes,Yes,80.0,86.0,Placed
2569,8.3,0,1,1,69.0,4.1,Yes,Yes,60.0,66.0,NotPlaced
5156,7.1,0,1,0,70.0,3.8,No,Yes,59.0,62.0,NotPlaced
8199,7.4,1,1,0,74.0,3.8,No,No,73.0,70.0,NotPlaced
5544,8.6,2,3,1,85.0,4.3,Yes,Yes,79.0,80.0,Placed
7235,8.4,1,3,0,86.0,4.7,Yes,Yes,79.0,84.0,Placed
1025,8.1,1,1,1,72.0,4.6,Yes,No,61.0,63.0,NotPlaced
8445,6.5,1,2,0,78.0,4.5,No,No,64.0,69.0,NotPlaced
5180,7.3,0,2,1,79.0,4.2,Yes,No,78.0,69.0,NotPlaced
3206,8.7,2,3,2,90.0,4.8,Yes,Yes,74.0,81.0,NotPlaced
2662,7.5,1,2,0,74.0,4.3,No,No,55.0,65.0,NotPlaced
5526,7.5,1,3,0,78.0,3.6,No,Yes,72.0,84.0,NotPlaced
3269,8.2,2,3,2,82.0,4.5,Yes,Yes,72.0,88.0,Placed
2547,6.9,1,2,1,60.0,4.8,Yes,Yes,69.0,69.0,NotPlaced
2076,7.9,2,3,2,90.0,4.5,Yes,No,84.0,82.0,Placed
8141,8.3,2,3,2,90.0,4.4,Yes,Yes,78.0,87.0,Placed
2446,8.7,0,3,2,81.0,4.5,Yes,Yes,80.0,66.0,Placed
1168,7.6,1,3,1,70.0,4.5,Yes,Yes,57.0,68.0,NotPlaced
248,6.7,1,2,1,73.0,4.3,No,Yes,71.0,66.0,NotPlaced
5628,8.2,2,2,2,70.0,4.2,Yes,No,56.0,71.0,NotPlaced
8278,8.6,0,3,2,90.0,4.7,Yes,Yes,71.0,88.0,Placed
2866,8.6,2,3,2,89.0,4.8,Yes,Yes,79.0,85.0,NotPlaced
8047,7.6,0,1,1,66.0,4.2,Yes,Yes,55.0,67.0,NotPlaced
5969,7.5,1,1,0,74.0,3.7,Yes,Yes,58.0,67.0,Placed
8608,8.4,1,2,1,79.0,3.8,Yes,Yes,76.0,82.0,Placed
7762,7.5,1,1,0,67.0,4.1,No,No,57.0,67.0,NotPlaced
9028,6.8,2,3,2,84.0,4.8,Yes,Yes,81.0,88.0,Placed
2606,8.4,2,3,2,90.0,4.8,Yes,Yes,81.0,88.0,Placed
7944,8.1,1,2,1,88.0,4.8,No,Yes,77.0,88.0,Placed
680,7.6,1,3,0,69.0,4.3,No,Yes,73.0,72.0,Placed
4421,7.8,1,1,2,82.0,4.2,Yes,Yes,55.0,86.0,NotPlaced
1520,7.8,1,1,0,74.0,4.1,No,No,60.0,61.0,NotPlaced
499,7.5,0,2,0,71.0,3.4,No,No,55.0,62.0,NotPlaced
8853,8.2,2,3,2,90.0,4.8,Yes,Yes,71.0,80.0,Placed
1244,8.4,0,2,1,82.0,4.7,Yes,Yes,57.0,75.0,NotPlaced
2328,7.8,1,3,0,90.0,4.6,No,Yes,64.0,83.0,NotPlaced
9550,8.2,2,3,2,88.0,4.7,Yes,Yes,83.0,83.0,Placed
6538,6.8,1,1,1,81.0,4.2,No,Yes,55.0,64.0,NotPlaced
8160,6.6,1,1,0,73.0,3.9,No,Yes,55.0,61.0,NotPlaced
9705,8.1,1,3,0,81.0,3.8,Yes,Yes,76.0,83.0,Placed
6753,8.2,1,1,1,82.0,4.1,Yes,Yes,57.0,71.0,NotPlaced
6876,7.4,0,2,0,65.0,4.4,No,Yes,58.0,68.0,NotPlaced
8039,8.4,0,1,2,74.0,4.2,Yes,Yes,55.0,68.0,NotPlaced
8187,8.4,2,3,0,89.0,4.8,Yes,Yes,71.0,85.0,NotPlaced
6268,7.6,1,1,1,85.0,4.3,No,Yes,77.0,70.0,NotPlaced
7727,8.6,1,3,2,90.0,4.6,Yes,Yes,88.0,85.0,Placed
2411,8.4,0,3,0,80.0,4.3,Yes,Yes,82.0,83.0,NotPlaced
9009,6.5,1,3,1,75.0,4.5,No,No,60.0,64.0,NotPlaced
9166,8.1,2,3,2,90.0,4.8,Yes,Yes,85.0,84.0,Placed
8963,8.5,1,2,0,73.0,4.2,No,Yes,55.0,61.0,NotPlaced
6216,8.0,1,2,1,73.0,3.8,No,Yes,60.0,66.0,NotPlaced
7575,6.7,0,2,0,70.0,3.0,No,Yes,55.0,69.0,NotPlaced
2222,6.5,0,2,0,71.0,3.4,No,Yes,55.0,73.0,NotPlaced
4191,8.3,1,2,0,85.0,4.6,Yes,Yes,73.0,77.0,NotPlaced
2753,8.1,1,2,0,81.0,4.2,No,No,55.0,70.0,NotPlaced
1110,8.3,2,3,2,89.0,4.4,Yes,Yes,66.0,84.0,Placed
8685,8.6,2,3,2,90.0,4.8,Yes,Yes,77.0,82.0,Placed
4194,7.5,1,1,0,73.0,3.4,No,Yes,80.0,67.0,NotPlaced
3340,6.8,0,1,0,67.0,3.6,No,No,55.0,62.0,NotPlaced
8672,8.3,1,2,0,72.0,3.9,Yes,Yes,74.0,79.0,Placed
7946,8.0,1,3,2,90.0,4.8,Yes,Yes,70.0,84.0,Placed
86,6.7,1,3,0,87.0,4.6,Yes,No,81.0,69.0,NotPlaced
7808,7.5,1,2,3,73.0,3.5,No,Yes,55.0,66.0,NotPlaced
4756,8.4,2,3,2,89.0,4.8,Yes,Yes,87.0,83.0,Placed
844,7.1,1,1,1,72.0,4.3,No,Yes,55.0,65.0,NotPlaced
1466,8.4,1,3,0,84.0,4.4,Yes,Yes,81.0,69.0,Placed
4791,7.5,1,3,1,72.0,4.4,No,Yes,76.0,85.0,NotPlaced
9508,7.5,2,3,0,86.0,4.8,Yes,No,55.0,84.0,Placed
2095,7.7,1,1,0,82.0,4.3,No,Yes,60.0,63.0,NotPlaced
6458,6.5,1,2,0,74.0,4.1,No,Yes,55.0,59.0,NotPlaced
2120,6.5,0,2,1,75.0,3.9,No,Yes,56.0,63.0,NotPlaced
425,7.9,0,1,0,85.0,4.5,Yes,No,76.0,81.0,NotPlaced
5416,7.4,1,2,0,80.0,4.6,No,Yes,76.0,71.0,Placed
1312,8.6,2,3,2,89.0,4.8,Yes,Yes,73.0,87.0,Placed
513,6.8,0,2,0,88.0,4.5,No,Yes,67.0,63.0,NotPlaced
247,8.4,0,2,1,85.0,4.3,Yes,Yes,62.0,81.0,Placed
7360,6.5,0,2,1,81.0,4.8,Yes,Yes,55.0,69.0,NotPlaced
3124,8.0,1,2,2,73.0,4.4,No,No,83.0,61.0,NotPlaced
6022,7.2,0,2,0,77.0,3.7,No,Yes,55.0,63.0,NotPlaced
2501,8.0,1,2,0,90.0,4.3,Yes,Yes,75.0,70.0,NotPlaced
4365,7.8,2,1,0,88.0,4.0,No,Yes,55.0,69.0,NotPlaced
2012,8.1,1,3,2,90.0,4.8,Yes,Yes,78.0,88.0,Placed
2578,6.6,1,1,1,83.0,3.9,Yes,No,70.0,66.0,NotPlaced
8698,8.4,0,3,2,69.0,4.5,Yes,Yes,55.0,84.0,Placed
6273,8.5,2,3,2,90.0,4.8,Yes,Yes,77.0,88.0,Placed
9497,7.8,1,3,2,90.0,4.8,Yes,No,79.0,77.0,NotPlaced
8646,7.5,1,2,0,76.0,4.0,No,Yes,59.0,62.0,Placed
3919,8.4,0,3,2,90.0,4.8,Yes,Yes,80.0,86.0,Placed
533,7.6,0,1,1,73.0,4.4,No,Yes,70.0,67.0,NotPlaced
1415,8.4,2,3,2,90.0,4.7,Yes,Yes,75.0,87.0,Placed
3566,7.5,1,1,1,79.0,4.4,Yes,Yes,55.0,67.0,NotPlaced
3402,6.9,0,3,2,78.0,4.3,Yes,Yes,84.0,73.0,Placed
7728,8.2,2,3,2,90.0,4.7,Yes,No,81.0,87.0,Placed
4604,8.1,1,2,0,68.0,4.7,No,Yes,67.0,87.0,Placed
8975,8.3,1,3,1,79.0,4.3,Yes,Yes,55.0,84.0,NotPlaced
9558,8.5,1,3,0,74.0,4.3,Yes,Yes,80.0,87.0,NotPlaced
6189,7.6,1,1,1,76.0,4.0,No,Yes,83.0,68.0,NotPlaced
9285,7.5,2,1,1,75.0,4.8,No,No,62.0,62.0,NotPlaced
2267,7.4,1,1,0,74.0,4.1,No,Yes,56.0,62.0,NotPlaced
3649,7.0,1,1,0,65.0,4.6,Yes,Yes,58.0,58.0,NotPlaced
5393,7.8,1,2,1,74.0,4.2,No,Yes,66.0,70.0,NotPlaced
9633,8.3,2,1,1,90.0,4.6,Yes,Yes,88.0,84.0,NotPlaced
1418,7.6,0,1,0,71.0,3.9,No,No,55.0,63.0,NotPlaced
17,8.6,0,3,0,84.0,4.8,Yes,Yes,62.0,78.0,Placed
128,7.4,0,1,0,79.0,4.3,No,No,63.0,73.0,NotPlaced
9796,8.1,2,3,2,90.0,4.8,Yes,Yes,75.0,82.0,Placed
1650,8.0,0,3,2,85.0,4.7,Yes,Yes,83.0,86.0,Placed
2035,8.2,1,2,2,86.0,4.2,Yes,Yes,73.0,73.0,NotPlaced
152,8.6,0,3,2,90.0,4.8,Yes,Yes,73.0,78.0,Placed
2642,8.1,1,2,0,89.0,4.8,Yes,Yes,77.0,83.0,NotPlaced
4784,8.4,0,3,0,90.0,4.5,Yes,Yes,71.0,83.0,Placed
9467,6.8,0,1,1,75.0,4.3,No,No,73.0,62.0,NotPlaced
7292,8.1,1,2,2,84.0,4.5,Yes,Yes,62.0,84.0,Placed
4521,8.4,1,2,1,84.0,4.3,Yes,Yes,72.0,67.0,NotPlaced
9559,8.3,1,3,2,87.0,4.6,No,Yes,75.0,62.0,Placed
8713,8.2,1,1,1,68.0,3.9,No,Yes,70.0,66.0,Placed
505,6.7,2,0,0,69.0,3.9,No,Yes,76.0,71.0,NotPlaced
5326,8.1,2,3,2,86.0,4.5,Yes,Yes,80.0,86.0,NotPlaced
1814,8.0,2,1,1,85.0,4.5,No,No,66.0,63.0,Placed
9838,8.7,2,1,1,63.0,4.0,Yes,Yes,60.0,65.0,NotPlaced
1432,6.9,1,3,1,72.0,4.7,Yes,Yes,75.0,74.0,Placed
4755,8.0,2,1,2,81.0,3.9,No,No,64.0,70.0,Placed
8189,7.6,1,1,1,74.0,3.9,Yes,No,55.0,65.0,NotPlaced
389,6.7,1,2,0,86.0,4.4,No,No,76.0,73.0,Placed
340,8.4,0,3,2,85.0,4.6,Yes,Yes,90.0,79.0,NotPlaced
7907,7.9,1,2,1,80.0,4.3,No,No,58.0,70.0,NotPlaced
180,7.4,1,1,0,60.0,3.4,No,No,58.0,62.0,NotPlaced
5148,6.5,1,1,1,67.0,4.0,No,Yes,56.0,65.0,NotPlaced
1319,7.5,0,1,0,72.0,4.3,Yes,Yes,60.0,61.0,NotPlaced
5079,6.5,1,1,1,64.0,4.4,Yes,No,57.0,61.0,NotPlaced
