studentid,cgpa,internships,projects,certifications,aptitudetestscore,softskillsrating,extracurricularactivities,placementtraining,ssc_marks,hsc_marks,placementstatus
7286,7.8,1,1,1,77.0,4.1,No,No,69.0,68.0,NotPlaced
524,8.0,0,3,3,90.0,4.3,Yes,Yes,75.0,87.0,Placed
6857,7.8,2,1,1,77.0,4.2,No,No,55.0,67.0,NotPlaced
3040,8.3,1,3,1,83.0,4.1,No,Yes,66.0,82.0,NotPlaced
9040,6.5,1,2,0,83.0,4.6,No,Yes,55.0,73.0,NotPlaced
6251,7.5,0,1,1,71.0,4.5,No,Yes,55.0,67.0,NotPlaced
7884,7.5,1,3,1,87.0,4.6,Yes,Yes,81.0,86.0,Placed
5334,7.5,0,1,2,73.0,3.9,No,Yes,55.0,67.0,Placed
70,8.4,1,1,2,67.0,3.8,Yes,Yes,76.0,69.0,NotPlaced
8880,8.4,1,3,0,81.0,3.6,Yes,Yes,78.0,86.0,Placed
8782,7.5,1,2,0,81.0,4.7,No,Yes,56.0,69.0,NotPlaced
5965,8.6,2,3,2,90.0,4.8,Yes,Yes,88.0,86.0,Placed
5151,7.4,1,1,0,66.0,4.4,No,No,55.0,70.0,NotPlaced
2685,7.0,1,2,0,72.0,4.1,No,Yes,71.0,73.0,NotPlaced
5069,8.1,2,3,0,90.0,4.6,Yes,Yes,80.0,81.0,Placed
5467,8.0,1,3,2,90.0,4.8,Yes,Yes,80.0,84.0,Placed
6629,7.3,2,1,1,87.0,4.2,Yes,No,90.0,65.0,NotPlaced
3591,8.4,1,1,3,89.0,4.4,Yes,Yes,72.0,71.0,Placed
8568,8.0,1,3,2,90.0,4.8,Yes,Yes,79.0,84.0,Placed
4152,7.6,1,1,2,87.0,4.1,Yes,Yes,79.0,67.0,Placed
6359,6.7,1,1,0,90.0,4.3,No,No,80.0,82.0,Placed
6833,8.1,2,2,1,76.0,4.0,No,Yes,75.0,74.0,Placed
4856,7.5,1,2,0,70.0,3.4,No,Yes,55.0,66.0,NotPlaced
1407,7.4,1,1,0,66.0,4.1,No,No,55.0,58.0,NotPlaced
3469,7.4,1,1,1,67.0,3.3,No,No,55.0,63.0,NotPlaced
5921,7.1,1,3,2,88.0,4.0,Yes,Yes,78.0,65.0,Placed
218,6.6,1,1,0,77.0,4.5,No,No,62.0,70.0,NotPlaced
7063,8.1,1,1,1,83.0,4.7,Yes,Yes,75.0,83.0,NotPlaced
7761,8.0,1,3,0,86.0,4.2,Yes,Yes,73.0,88.0,Placed
8797,7.6,1,1,1,71.0,4.2,No,No,57.0,68.0,NotPlaced
6909,7.8,1,2,0,81.0,4.8,No,Yes,55.0,62.0,NotPlaced
2806,7.4,2,3,2,75.0,4.2,No,Yes,80.0,66.0,NotPlaced
7336,7.8,1,2,1,68.0,3.9,No,No,61.0,63.0,NotPlaced
5265,7.7,1,2,0,81.0,3.9,Yes,Yes,75.0,77.0,NotPlaced
4965,7.7,0,1,0,82.0,4.1,No,Yes,56.0,75.0,NotPlaced
339,8.4,2,3,2,87.0,4.8,Yes,Yes,78.0,88.0,Placed
8593,6.5,2,3,2,80.0,4.8,Yes,Yes,78.0,82.0,NotPlaced
1916,8.3,2,3,2,87.0,4.6,Yes,Yes,78.0,82.0,Placed
609,6.8,1,1,0,74.0,3.8,No,Yes,62.0,67.0,NotPlaced
2552,8.5,2,1,1,80.0,3.6,Yes,No,83.0,68.0,NotPlaced
5283,8.1,1,3,0,88.0,4.5,Yes,Yes,78.0,83.0,Placed
9409,8.8,0,3,0,68.0,4.1,Yes,Yes,55.0,66.0,NotPlaced
3455,7.5,1,2,3,76.0,3.7,No,Yes,55.0,67.0,NotPlaced
4367,8.0,1,2,0,76.0,4.4,Yes,Yes,61.0,70.0,Placed
762,8.3,0,1,1,72.0,3.5,No,No,60.0,71.0,NotPlaced
6745,7.5,1,1,0,70.0,3.7,No,Yes,55.0,72.0,NotPlaced
7859,6.8,1,2,0,79.0,4.0,No,Yes,69.0,68.0,NotPlaced
6018,7.4,1,2,0,76.0,4.4,Yes,Yes,55.0,73.0,NotPlaced
5521,7.6,1,3,2,88.0,4.5,Yes,Yes,75.0,84.0,Placed
4916,7.5,0,3,2,90.0,4.3,No,Yes,89.0,86.0,Placed
5378,7.3,1,1,0,76.0,4.4,No,Yes,62.0,70.0,NotPlaced
4682,8.4,0,3,2,78.0,4.8,No,Yes,85.0,65.0,Placed
4103,7.7,1,3,0,90.0,4.0,Yes,Yes,77.0,81.0,NotPlaced
8190,7.9,1,3,1,90.0,4.8,Yes,Yes,77.0,85.0,Placed
2984,7.8,0,2,1,65.0,4.3,Yes,No,56.0,67.0,Placed
4150,7.7,1,1,1,67.0,3.0,No,No,55.0,67.0,NotPlaced
361,8.7,1,3,2,90.0,4.7,Yes,Yes,81.0,80.0,Placed
4221,8.1,1,3,2,75.0,4.3,Yes,Yes,69.0,83.0,Placed
9352,7.6,0,2,0,72.0,4.4,No,No,59.0,61.0,Placed
1238,8.8,1,3,2,74.0,4.3,Yes,Yes,71.0,79.0,Placed
5980,7.6,1,1,1,69.0,4.3,No,No,58.0,70.0,NotPlaced
4799,7.6,1,2,2,80.0,4.5,No,Yes,77.0,71.0,Placed
1729,8.2,2,3,2,87.0,4.7,Yes,No,90.0,66.0,Placed
6741,7.5,2,1,0,82.0,4.3,No,Yes,71.0,63.0,NotPlaced
9325,8.4,1,1,3,90.0,4.5,Yes,Yes,72.0,69.0,Placed
6480,7.5,0,3,0,88.0,4.4,Yes,Yes,67.0,86.0,NotPlaced
4263,7.4,1,2,1,60.0,3.2,No,No,55.0,68.0,NotPlaced
7832,7.4,1,2,2,80.0,3.9,No,Yes,77.0,88.0,Placed
3922,8.5,1,2,2,83.0,4.2,Yes,No,79.0,85.0,Placed
727,8.3,0,1,2,84.0,4.7,Yes,Yes,65.0,64.0,Placed
950,8.0,0,3,0,88.0,4.6,Yes,Yes,84.0,70.0,Placed
678,7.3,1,1,0,72.0,3.9,Yes,No,70.0,59.0,NotPlaced
8419,7.8,1,1,1,83.0,3.7,No,Yes,64.0,71.0,NotPlaced
9467,6.8,0,1,1,75.0,4.3,No,No,73.0,62.0,NotPlaced
36,7.8,1,1,1,67.0,4.3,No,No,65.0,73.0,NotPlaced
9464,7.4,1,2,0,80.0,4.1,No,Yes,64.0,86.0,NotPlaced
8368,7.6,0,1,1,72.0,4.4,No,Yes,69.0,76.0,NotPlaced
8439,6.8,1,1,0,69.0,3.9,No,No,62.0,60.0,NotPlaced
6493,8.0,0,2,0,76.0,3.8,No,Yes,55.0,65.0,NotPlaced
6802,8.4,2,3,2,88.0,4.8,Yes,Yes,70.0,84.0,Placed
3671,7.5,1,3,1,78.0,4.0,No,No,75.0,66.0,NotPlaced
546,7.6,2,3,2,90.0,4.5,Yes,Yes,75.0,82.0,Placed
3833,8.2,0,3,0,79.0,4.7,Yes,Yes,65.0,87.0,Placed
5306,8.2,2,3,2,90.0,4.8,Yes,Yes,77.0,85.0,Placed
7747,6.5,0,2,0,74.0,4.5,No,No,62.0,68.0,NotPlaced
5539,8.3,2,3,0,80.0,4.2,No,No,87.0,68.0,NotPlaced
4500,7.6,0,2,0,79.0,4.0,Yes,Yes,55.0,70.0,NotPlaced
8894,7.9,2,3,2,90.0,4.8,Yes,Yes,81.0,86.0,Placed
5948,8.7,0,1,2,78.0,4.7,Yes,Yes,67.0,86.0,NotPlaced
71,7.5,1,1,1,69.0,4.3,No,Yes,71.0,76.0,NotPlaced
2602,8.2,0,2,2,90.0,4.8,Yes,Yes,77.0,83.0,Placed
3941,8.5,1,1,1,81.0,4.5,Yes,Yes,70.0,62.0,NotPlaced
8087,8.5,2,3,2,90.0,4.8,Yes,Yes,85.0,86.0,Placed
6151,8.2,0,3,2,84.0,4.8,Yes,Yes,56.0,74.0,Placed
2995,6.5,0,1,1,90.0,3.7,No,Yes,64.0,71.0,NotPlaced
9143,7.7,1,3,3,88.0,4.8,Yes,No,75.0,85.0,NotPlaced
2631,7.6,1,3,0,80.0,4.7,No,No,77.0,70.0,NotPlaced
2957,8.6,1,3,2,82.0,4.8,Yes,Yes,85.0,86.0,Placed
3574,8.5,2,3,2,90.0,4.7,Yes,Yes,85.0,82.0,Placed
8080,6.7,1,2,2,68.0,4.1,Yes,No,79.0,70.0,NotPlaced
3536,8.4,1,1,0,90.0,4.7,Yes,Yes,83.0,85.0,Placed
7479,7.7,0,2,0,72.0,4.5,No,Yes,63.0,87.0,NotPlaced
6401,6.5,1,1,1,82.0,3.9,No,Yes,57.0,70.0,NotPlaced
6540,7.5,1,2,1,74.0,4.2,Yes,No,76.0,80.0,NotPlaced
3452,7.0,0,1,1,67.0,4.1,No,Yes,69.0,81.0,NotPlaced
3266,7.6,0,1,1,77.0,3.4,No,No,58.0,67.0,NotPlaced
6645,7.4,1,1,0,61.0,4.1,No,Yes,55.0,72.0,Placed
3406,8.2,1,2,0,87.0,4.2,Yes,Yes,73.0,84.0,NotPlaced
7268,7.4,1,1,0,81.0,4.3,Yes,Yes,67.0,70.0,NotPlaced
5215,7.4,1,2,0,68.0,4.2,No,Yes,55.0,60.0,NotPlaced
3442,8.0,1,1,0,81.0,4.6,Yes,Yes,85.0,87.0,NotPlaced
721,8.1,1,3,2,90.0,4.6,Yes,Yes,79.0,88.0,Placed
3837,7.5,0,2,0,76.0,4.2,Yes,Yes,55.0,73.0,NotPlaced
6048,7.6,0,1,1,79.0,4.2,Yes,Yes,55.0,79.0,NotPlaced
9922,7.5,1,1,0,64.0,3.8,Yes,No,62.0,63.0,NotPlaced
9299,6.7,1,1,1,71.0,3.8,Yes,No,56.0,70.0,NotPlaced
3615,7.8,1,2,1,81.0,4.6,Yes,Yes,82.0,84.0,NotPlaced
3598,7.3,2,3,2,90.0,4.0,Yes,No,85.0,87.0,Placed
4940,7.6,1,3,0,90.0,4.8,Yes,Yes,75.0,85.0,Placed
7811,7.6,1,1,0,71.0,4.1,No,Yes,58.0,59.0,NotPlaced
6922,8.0,0,3,1,73.0,4.8,Yes,Yes,57.0,64.0,NotPlaced
5113,7.2,0,2,1,78.0,4.4,No,Yes,79.0,61.0,NotPlaced
4995,6.9,0,1,0,81.0,4.0,No,Yes,74.0,71.0,NotPlaced
2118,7.8,0,1,0,81.0,4.2,No,No,63.0,58.0,NotPlaced
8077,8.2,2,3,2,88.0,4.5,Yes,Yes,77.0,83.0,Placed
3791,7.5,2,2,1,81.0,4.4,No,No,55.0,62.0,NotPlaced
8338,7.5,1,1,1,68.0,4.4,Yes,No,62.0,69.0,NotPlaced
8660,6.5,1,1,0,87.0,4.8,No,No,63.0,66.0,Placed
1001,7.8,0,2,0,70.0,4.3,No,No,55.0,68.0,NotPlaced
5247,7.3,0,1,0,72.0,4.0,No,No,55.0,72.0,NotPlaced
6090,8.3,2,3,2,79.0,4.4,Yes,Yes,83.0,85.0,Placed
6765,8.0,1,1,0,75.0,4.0,No,No,55.0,65.0,NotPlaced
4959,8.1,2,1,1,75.0,4.7,Yes,Yes,60.0,70.0,NotPlaced
3284,8.1,0,2,1,79.0,4.4,No,No,68.0,66.0,Placed
9750,7.3,1,2,0,77.0,3.9,Yes,Yes,63.0,62.0,NotPlaced
487,8.3,1,3,1,86.0,4.8,No,Yes,80.0,67.0,NotPlaced
781,8.4,0,1,0,90.0,4.6,Yes,Yes,84.0,78.0,Placed
3202,8.2,2,3,2,81.0,4.5,Yes,Yes,74.0,88.0,Placed
767,7.8,1,3,2,81.0,4.2,Yes,Yes,70.0,65.0,Placed
6864,7.8,1,2,0,73.0,4.6,No,Yes,55.0,64.0,NotPlaced
3199,8.1,2,3,2,85.0,4.5,No,Yes,55.0,75.0,Placed
8498,8.3,1,2,2,76.0,4.0,Yes,Yes,74.0,62.0,NotPlaced
2117,8.3,1,3,2,90.0,4.8,Yes,Yes,87.0,88.0,Placed
7058,7.6,1,2,1,72.0,4.0,No,Yes,81.0,78.0,NotPlaced
56,8.8,2,3,2,90.0,4.8,Yes,Yes,86.0,88.0,Placed
8311,7.7,0,2,1,75.0,4.1,Yes,Yes,79.0,66.0,Placed
610,8.3,1,3,0,78.0,4.7,Yes,Yes,76.0,82.0,NotPlaced
7474,7.4,1,1,1,62.0,4.8,Yes,Yes,55.0,71.0,NotPlaced
1962,7.8,1,2,0,90.0,4.0,Yes,Yes,81.0,79.0,NotPlaced
3541,8.6,1,3,0,89.0,4.7,Yes,Yes,72.0,85.0,Placed
625,8.4,1,1,0,72.0,3.9,Yes,No,60.0,82.0,NotPlaced
980,6.6,1,2,0,88.0,4.0,No,No,78.0,67.0,NotPlaced
9438,7.9,1,2,2,71.0,4.3,Yes,Yes,77.0,85.0,NotPlaced
5200,6.5,0,1,0,69.0,3.6,No,Yes,71.0,72.0,NotPlaced
8949,7.6,1,1,1,72.0,4.6,No,Yes,78.0,66.0,NotPlaced
7516,8.1,2,3,2,90.0,4.8,Yes,No,79.0,88.0,Placed
316,7.5,1,1,2,82.0,4.5,Yes,Yes,77.0,84.0,Placed
1004,8.1,0,1,0,85.0,4.5,Yes,Yes,79.0,82.0,Placed
8187,8.4,2,3,0,89.0,4.8,Yes,Yes,71.0,85.0,NotPlaced
1625,7.8,1,2,1,83.0,3.5,No,Yes,66.0,72.0,NotPlaced
343,8.6,2,3,2,90.0,4.8,Yes,Yes,77.0,86.0,Placed
1596,7.4,2,3,3,86.0,4.2,Yes,Yes,60.0,75.0,NotPlaced
1326,6.6,1,1,1,76.0,4.5,No,No,65.0,63.0,Placed
1826,6.5,0,1,0,89.0,4.6,Yes,No,62.0,77.0,NotPlaced
4512,6.8,1,2,0,69.0,3.7,No,Yes,57.0,71.0,NotPlaced
6679,8.0,1,3,2,90.0,4.0,No,Yes,78.0,86.0,Placed
1937,8.6,2,3,2,89.0,4.8,Yes,No,79.0,78.0,Placed
3178,7.4,0,2,0,74.0,4.1,No,Yes,64.0,63.0,Placed
2305,8.2,1,3,2,90.0,3.6,Yes,Yes,75.0,80.0,Placed
3805,8.4,1,2,2,81.0,4.2,Yes,Yes,55.0,66.0,Placed
9064,8.0,0,2,1,89.0,4.3,No,Yes,55.0,75.0,NotPlaced
5078,7.3,1,1,0,65.0,3.9,No,No,69.0,67.0,NotPlaced
1799,7.5,1,2,1,67.0,4.7,No,No,60.0,65.0,NotPlaced
3680,7.9,0,1,0,79.0,4.5,No,No,62.0,69.0,Placed
2325,6.5,2,2,1,81.0,4.8,No,No,61.0,69.0,NotPlaced
6753,8.2,1,1,1,82.0,4.1,Yes,Yes,57.0,71.0,NotPlaced
8237,6.8,0,1,1,67.0,3.4,No,Yes,59.0,68.0,NotPlaced
8704,6.5,0,1,0,62.0,4.6,No,No,61.0,66.0,NotPlaced
6384,6.5,1,2,1,70.0,3.9,Yes,Yes,74.0,85.0,NotPlaced
2679,8.5,1,3,2,84.0,4.6,Yes,Yes,74.0,85.0,Placed
6840,6.8,1,1,0,69.0,3.3,No,No,63.0,63.0,NotPlaced
3031,7.8,1,1,0,74.0,3.8,No,No,61.0,68.0,NotPlaced
6590,8.2,1,1,1,88.0,4.8,No,Yes,68.0,77.0,Placed
7344,7.4,1,2,1,61.0,4.4,Yes,Yes,62.0,69.0,Placed
6176,6.5,1,1,2,85.0,4.5,Yes,Yes,73.0,67.0,Placed
7507,7.5,1,1,0,74.0,3.5,No,Yes,60.0,68.0,Placed
3640,8.3,0,3,2,81.0,4.6,Yes,Yes,80.0,75.0,Placed
6805,7.3,1,1,1,71.0,3.8,No,Yes,57.0,57.0,NotPlaced
9944,8.2,2,3,1,83.0,4.3,No,Yes,57.0,62.0,Placed
1394,7.6,1,2,0,75.0,4.8,No,No,61.0,69.0,NotPlaced
3503,8.3,2,3,2,90.0,4.8,Yes,No,85.0,83.0,Placed
3932,8.2,0,2,2,79.0,4.0,Yes,Yes,76.0,79.0,Placed
6443,8.6,0,3,1,87.0,4.6,Yes,Yes,72.0,85.0,NotPlaced
8371,7.5,1,2,0,65.0,4.1,No,Yes,55.0,69.0,NotPlaced
6882,8.4,2,3,1,78.0,4.8,Yes,Yes,55.0,87.0,NotPlaced
9620,7.4,2,1,2,62.0,4.7,No,No,55.0,71.0,NotPlaced
8205,7.3,0,2,0,82.0,4.5,No,Yes,57.0,82.0,NotPlaced
1234,8.6,2,3,2,90.0,4.8,Yes,No,74.0,81.0,Placed
8021,6.6,1,3,2,81.0,4.5,Yes,No,72.0,77.0,NotPlaced
9724,8.1,1,3,1,89.0,4.4,Yes,Yes,76.0,88.0,Placed
9856,8.5,1,2,1,80.0,4.0,Yes,Yes,75.0,67.0,NotPlaced
4680,8.4,0,3,2,90.0,4.6,Yes,Yes,66.0,84.0,NotPlaced
6627,8.4,1,2,2,72.0,4.0,Yes,Yes,75.0,79.0,Placed
7987,6.7,0,1,1,70.0,4.6,Yes,Yes,64.0,73.0,NotPlaced
2724,7.7,0,3,0,87.0,4.7,Yes,Yes,81.0,60.0,Placed
7435,7.4,1,1,1,66.0,3.5,No,Yes,55.0,70.0,NotPlaced
6570,8.7,2,3,2,88.0,4.8,Yes,Yes,72.0,88.0,Placed
6535,7.5,1,2,0,81.0,4.3,No,Yes,66.0,66.0,NotPlaced
1142,8.3,1,3,2,87.0,4.6,Yes,Yes,80.0,81.0,NotPlaced
133,8.4,1,1,0,81.0,4.6,Yes,No,78.0,82.0,Placed
9947,7.5,0,1,1,68.0,3.6,Yes,Yes,55.0,65.0,NotPlaced
965,6.5,1,1,1,62.0,3.4,No,Yes,69.0,70.0,NotPlaced
2259,8.3,1,2,0,82.0,4.6,Yes,Yes,85.0,86.0,Placed
5015,6.5,0,1,1,66.0,4.4,No,No,69.0,67.0,NotPlaced
2525,7.8,0,2,1,74.0,4.5,No,Yes,74.0,81.0,Placed
9610,8.3,2,3,2,90.0,4.8,Yes,Yes,78.0,84.0,Placed
2613,8.5,2,3,2,90.0,4.8,Yes,Yes,79.0,80.0,Placed
1977,8.1,0,3,2,83.0,4.6,Yes,No,68.0,83.0,Placed
1883,7.7,1,1,1,78.0,3.3,No,No,55.0,74.0,NotPlaced
2597,7.5,1,2,1,77.0,4.6,Yes,Yes,84.0,65.0,NotPlaced
9379,7.5,1,1,1,65.0,3.9,No,Yes,55.0,72.0,NotPlaced
2982,7.7,0,1,1,77.0,3.3,No,No,56.0,68.0,NotPlaced
3585,6.5,0,1,0,72.0,3.7,Yes,Yes,63.0,66.0,NotPlaced
8638,8.3,1,3,1,87.0,4.5,Yes,No,70.0,82.0,NotPlaced
9763,7.6,1,1,1,73.0,4.7,No,No,55.0,70.0,NotPlaced
7988,7.2,0,1,0,63.0,3.8,No,No,66.0,66.0,NotPlaced
5959,8.3,1,1,0,69.0,4.5,No,Yes,55.0,65.0,NotPlaced
1186,6.8,1,1,3,72.0,4.3,No,Yes,75.0,74.0,NotPlaced
9013,6.8,1,1,0,77.0,4.2,Yes,Yes,64.0,64.0,NotPlaced
5364,8.4,0,2,0,81.0,4.4,Yes,Yes,61.0,68.0,Placed
3018,8.1,2,2,2,90.0,4.6,No,No,88.0,79.0,NotPlaced
1008,7.3,1,1,1,76.0,4.1,No,Yes,80.0,68.0,NotPlaced
9984,6.6,2,1,0,60.0,4.1,Yes,No,61.0,66.0,NotPlaced
6456,7.6,1,1,1,68.0,4.3,Yes,Yes,64.0,71.0,NotPlaced
2529,6.8,1,2,2,76.0,3.7,Yes,Yes,55.0,63.0,NotPlaced
2203,6.8,0,1,1,79.0,4.2,Yes,Yes,60.0,82.0,NotPlaced
1902,8.2,1,3,1,72.0,3.9,No,Yes,61.0,73.0,NotPlaced
2279,7.8,1,2,0,72.0,4.5,No,Yes,55.0,69.0,NotPlaced
2281,8.3,0,3,2,74.0,4.1,Yes,Yes,70.0,84.0,NotPlaced
9663,7.4,0,1,0,60.0,3.4,No,No,55.0,71.0,NotPlaced
4127,8.6,2,3,2,90.0,4.8,Yes,Yes,82.0,86.0,Placed
7323,8.4,1,1,1,70.0,4.2,No,No,62.0,68.0,NotPlaced
7116,8.0,2,3,2,90.0,4.7,Yes,Yes,79.0,83.0,Placed
6597,8.5,1,3,2,85.0,4.3,Yes,Yes,72.0,84.0,Placed
8768,6.5,0,3,0,77.0,4.2,No,No,78.0,61.0,NotPlaced
992,7.9,1,2,2,76.0,4.5,Yes,Yes,55.0,58.0,NotPlaced
522,7.5,1,3,0,86.0,4.2,Yes,Yes,81.0,71.0,NotPlaced
9562,6.8,1,1,2,64.0,3.5,No,No,55.0,63.0,NotPlaced
6859,8.5,1,3,2,76.0,4.8,Yes,Yes,67.0,83.0,Placed
7817,7.6,1,3,2,90.0,4.5,Yes,No,87.0,71.0,Placed
6447,7.7,1,2,0,71.0,4.0,Yes,Yes,57.0,70.0,NotPlaced
6950,7.6,1,2,1,72.0,3.8,No,Yes,55.0,67.0,NotPlaced
214,7.8,2,2,2,77.0,4.2,Yes,No,57.0,69.0,NotPlaced
1287,8.5,2,3,0,90.0,4.7,Yes,Yes,84.0,88.0,Placed
6291,7.3,1,1,3,83.0,4.5,Yes,Yes,64.0,76.0,Placed
1570,8.4,2,3,2,90.0,4.8,Yes,Yes,79.0,88.0,Placed
8253,8.5,2,3,2,90.0,4.8,Yes,Yes,79.0,82.0,Placed
5926,7.7,1,2,0,63.0,4.3,No,No,55.0,72.0,NotPlaced
2,8.9,0,3,2,90.0,4.0,Yes,Yes,78.0,82.0,Placed
396,8.2,2,3,2,90.0,4.8,Yes,Yes,81.0,84.0,Placed
1952,8.0,1,1,2,80.0,4.7,Yes,Yes,80.0,79.0,NotPlaced
6351,7.9,1,3,2,80.0,4.8,Yes,Yes,89.0,86.0,Placed
9331,8.3,2,2,0,89.0,4.8,Yes,Yes,83.0,81.0,Placed
8305,7.7,1,1,0,71.0,3.9,No,No,65.0,67.0,NotPlaced
5440,6.5,1,2,1,64.0,3.7,No,Yes,55.0,69.0,NotPlaced
3799,6.5,0,2,0,78.0,4.3,Yes,Yes,73.0,71.0,Placed
5186,7.7,0,1,0,74.0,3.7,No,No,65.0,68.0,NotPlaced
5887,7.7,1,1,0,78.0,3.8,No,Yes,55.0,61.0,NotPlaced
